"total_size","draw","method","accuracy","auc"
60,8,"RF",0.683333333333333,0.755555555555556
60,8,"XGB",0.683333333333333,0.777777777777778
60,9,"LOGIS",0.65,0.705555555555555
60,9,"SVM",0.683333333333333,0.733333333333333
60,9,"KNN",0.583333333333333,0
60,9,"RF",0.7,0.783333333333333
60,9,"XGB",0.7,0.827777777777778
60,10,"LOGIS",0.766666666666667,0.838888888888889
60,10,"SVM",0.783333333333333,0.838888888888889
60,10,"KNN",0.766666666666667,0
60,10,"RF",0.833333333333333,0.836111111111111
60,10,"XGB",0.783333333333333,0.833333333333333
60,11,"LOGIS",0.766666666666667,0.827777777777778
60,11,"SVM",0.816666666666667,0.866666666666667
60,11,"KNN",0.666666666666667,0
60,11,"RF",0.816666666666667,0.875
60,11,"XGB",0.816666666666667,0.883333333333333
60,12,"LOGIS",0.766666666666667,0.833333333333333
60,12,"SVM",0.716666666666667,0.833333333333333
60,12,"KNN",0.683333333333333,0
60,12,"RF",0.783333333333333,0.830555555555556
60,12,"XGB",0.766666666666667,0.852777777777778
60,13,"LOGIS",0.733333333333333,0.811111111111111
60,13,"SVM",0.8,0.872222222222222
60,13,"KNN",0.75,0
60,13,"RF",0.783333333333333,0.8
60,13,"XGB",0.8,0.833333333333333
60,14,"LOGIS",0.783333333333333,0.811111111111111
60,14,"SVM",0.766666666666667,0.8
60,14,"KNN",0.65,0
60,14,"RF",0.733333333333333,0.780555555555556
60,14,"XGB",0.716666666666667,0.736111111111111
60,15,"LOGIS",0.766666666666667,0.811111111111111
60,15,"SVM",0.8,0.85
60,15,"KNN",0.75,0
60,15,"RF",0.833333333333333,0.886111111111111
60,15,"XGB",0.783333333333333,0.883333333333333
60,16,"LOGIS",0.733333333333333,0.838888888888889
60,16,"SVM",0.716666666666667,0.844444444444444
60,16,"KNN",0.683333333333333,0
60,16,"RF",0.733333333333333,0.813888888888889
60,16,"XGB",0.716666666666667,0.822222222222222
60,17,"LOGIS",0.816666666666667,0.827777777777778
60,17,"SVM",0.8,0.844444444444444
60,17,"KNN",0.7,0
60,17,"RF",0.783333333333333,0.863888888888889
60,17,"XGB",0.783333333333333,0.85
60,18,"LOGIS",0.733333333333333,0.794444444444444
60,18,"SVM",0.75,0.811111111111111
60,18,"KNN",0.633333333333333,0
60,18,"RF",0.733333333333333,0.836111111111111
60,18,"XGB",0.716666666666667,0.733333333333333
60,19,"LOGIS",0.783333333333333,0.838888888888889
60,19,"SVM",0.8,0.833333333333333
60,19,"KNN",0.7,0
60,19,"RF",0.766666666666667,0.775
60,19,"XGB",0.783333333333333,0.833333333333333
60,20,"LOGIS",0.7,0.816666666666667
60,20,"SVM",0.683333333333333,0.777777777777778
60,20,"KNN",0.666666666666667,0
60,20,"RF",0.7,0.766666666666667
60,20,"XGB",0.75,0.788888888888889
60,21,"LOGIS",0.816666666666667,0.905555555555556
60,21,"SVM",0.85,0.933333333333333
60,21,"KNN",0.816666666666667,0
60,21,"RF",0.866666666666667,0.955555555555556
60,21,"XGB",0.866666666666667,0.930555555555556
60,22,"LOGIS",0.7,0.805555555555556
60,22,"SVM",0.716666666666667,0.8
60,22,"KNN",0.65,0
60,22,"RF",0.65,0.775
60,22,"XGB",0.7,0.744444444444444
60,23,"LOGIS",0.733333333333333,0.788888888888889
60,23,"SVM",0.75,0.8
60,23,"KNN",0.716666666666667,0
60,23,"RF",0.75,0.736111111111111
60,23,"XGB",0.7,0.802777777777778
60,24,"LOGIS",0.7,0.711111111111111
60,24,"SVM",0.666666666666667,0.716666666666667
60,24,"KNN",0.45,0
60,24,"RF",0.583333333333333,0.697222222222222
60,24,"XGB",0.666666666666667,0.713888888888889
60,25,"LOGIS",0.783333333333333,0.844444444444444
60,25,"SVM",0.783333333333333,0.855555555555556
60,25,"KNN",0.716666666666667,0
60,25,"RF",0.85,0.805555555555556
60,25,"XGB",0.8,0.908333333333333
60,26,"LOGIS",0.833333333333333,0.888888888888889
60,26,"SVM",0.85,0.961111111111111
60,26,"KNN",0.733333333333333,0
60,26,"RF",0.8,0.888888888888889
60,26,"XGB",0.833333333333333,0.880555555555556
60,27,"LOGIS",0.783333333333333,0.833333333333333
60,27,"SVM",0.766666666666667,0.838888888888889
